Size,MergeSort-Random-Time,MergeSort-Random-Cmp,MergeSort-Reversed-Time,MergeSort-Reversed-Cmp,MergeSort-Nearly-Time,MergeSort-Nearly-Cmp,QuickSort-Random-Time,QuickSort-Random-Cmp,QuickSort-Reversed-Time,QuickSort-Reversed-Cmp,QuickSort-Nearly-Time,QuickSort-Nearly-Cmp,MSDRadix-Random-Time,MSDRadix-Random-Cmp,MSDRadix-Reversed-Time,MSDRadix-Reversed-Cmp,MSDRadix-Nearly-Time,MSDRadix-Nearly-Cmp,MSDRadixQuick-Random-Time,MSDRadixQuick-Random-Cmp,MSDRadixQuick-Reversed-Time,MSDRadixQuick-Reversed-Cmp,MSDRadixQuick-Nearly-Time,MSDRadixQuick-Nearly-Cmp
100,8.54863e-05,606,7.52357e-05,603,8.3903e-05,796,2.40417e-05,946,3.5931e-05,1468,2.9014e-05,1655,0.000177222,0,0.000236167,0,0.000120611,0,1.68337e-05,96,5.32083e-05,1513,3.15833e-05,1119
200,0.000204292,1472,0.000169459,1317,0.0001945,1797,5.84863e-05,2558,7.03197e-05,2907,5.8708e-05,3328,0.000326514,0,0.00028168,0,0.000249722,0,6.0125e-05,313,0.000103389,3002,6.04583e-05,2237
300,0.0003215,2513,0.000273875,2033,0.000308042,2885,8.5111e-05,3795,0.000106472,4390,9.95693e-05,5738,0.000415569,0,0.000398472,0,0.000341931,0,4.9139e-05,643,0.000154903,4618,8.6222e-05,3359
400,0.000505389,3631,0.000380069,2861,0.000428305,4022,0.000118569,5081,0.00019425,7040,0.000124181,6708,0.000460195,0,0.000526528,0,0.000437181,0,6.5125e-05,1062,0.000208597,6430,0.000106542,4134
500,0.000590125,4834,0.000535722,3767,0.000639625,5045,0.000153236,6618,0.000225889,8894,0.000183653,10569,0.000558472,0,0.000699639,0,0.000562111,0,8.70137e-05,1513,0.000264639,7931,0.000134778,5016
600,0.000724528,6130,0.000558444,4396,0.000814458,6436,0.000223028,8438,0.000289181,11592,0.000232861,13969,0.000619903,0,0.000782403,0,0.000694694,0,0.000108291,2031,0.000316597,9547,0.000162528,6087
700,0.000887167,7427,0.000799694,5203,0.000797556,7686,0.000231403,10587,0.000455194,14913,0.000326,18201,0.000797458,0,0.000911583,0,0.000853125,0,0.000137042,2569,0.000441111,11139,0.000380375,7240
800,0.00108007,8782,0.000850222,6114,0.000963542,8997,0.000287,12319,0.000459875,18285,0.000330694,20514,0.00091425,0,0.00105811,0,0.000961959,0,0.00015425,3205,0.000420792,12732,0.000220167,8214
900,0.00150467,10196,0.00105764,6965,0.00152657,10314,0.000319083,13241,0.000556403,21964,0.000306472,17560,0.000900306,0,0.00125606,0,0.00108168,0,0.000177764,3831,0.000466903,14107,0.000236319,9106
1000,0.00122114,11558,0.000976305,8011,0.00129982,11331,0.000355139,16185,0.000698958,25823,0.000540097,20831,0.0010101,0,0.00135082,0,0.00126683,0,0.000202611,4492,0.000524972,15909,0.000276931,10009
1100,0.00141244,13025,0.00116168,8728,0.00132926,12949,0.000378069,16791,0.000759389,29862,0.000399681,23422,0.00104754,0,0.00138515,0,0.00131358,0,0.000223223,5175,0.000579153,17809,0.000299583,10961
1200,0.00155446,14558,0.00120182,9434,0.00149406,14499,0.000412778,18521,0.000830153,33405,0.000439958,25901,0.001148,0,0.00154507,0,0.00149419,0,0.000254958,5834,0.000614944,19284,0.000313028,11716
1300,0.00167113,16095,0.00212964,10457,0.00187146,15939,0.000439639,20285,0.000949278,38077,0.000480167,27438,0.00124681,0,0.00166004,0,0.00163357,0,0.000273667,6587,0.000673458,20919,0.000354986,12778
1400,0.00187221,17634,0.00169828,11116,0.00189374,17436,0.000518708,22367,0.0010921,41226,0.000532264,29221,0.00138618,0,0.00182482,0,0.00166918,0,0.000316916,7397,0.000723792,22435,0.000365667,13564
1500,0.00196825,19163,0.00155422,12075,0.00186393,18765,0.000530264,24529,0.00118583,47653,0.000527639,31195,0.0014695,0,0.00186112,0,0.00185597,0,0.000336931,8347,0.000776944,23956,0.000393236,14629
1600,0.0021591,20729,0.001692,13068,0.00202721,20562,0.000571778,25938,0.001445,51999,0.000618875,33451,0.00171311,0,0.00219885,0,0.00304847,0,0.00101008,9057,0.00269169,25603,0.000443069,15710
1700,0.00404587,22339,0.00185692,13973,0.00225688,21803,0.000803417,29789,0.00173542,57533,0.000635861,35457,0.00182053,0,0.00438468,0,0.00249579,0,0.000409681,9815,0.000929472,26893,0.000460486,16630
1800,0.00355921,23963,0.00198096,14928,0.00261161,23151,0.000689459,30438,0.0016915,63524,0.000680361,38391,0.00207856,0,0.00263613,0,0.00238049,0,0.00084593,10590,0.00179693,28617,0.00139676,17530
1900,0.00289186,25520,0.00216019,15942,0.0026805,24430,0.000699278,31508,0.00178972,68079,0.000730014,40937,0.00335581,0,0.00263685,0,0.00237003,0,0.000447014,11305,0.00100244,30049,0.000536542,18661
2000,0.00281596,27183,0.00221318,17068,0.00265817,25510,0.000755333,33356,0.00196489,75031,0.000755333,42317,0.00226007,0,0.00259886,0,0.0024646,0,0.000474014,12126,0.00105156,31774,0.000543542,19776
2100,0.00300381,28857,0.003629,17940,0.0028084,27084,0.000846528,39847,0.00212747,80969,0.00132115,82030,0.00242121,0,0.0027001,0,0.00264964,0,0.00050368,12993,0.00110754,33118,0.000570194,20696
2200,0.00362387,30552,0.00271629,18592,0.00339853,28697,0.000877681,38641,0.002486,88807,0.00209008,137634,0.0025706,0,0.00277331,0,0.00275829,0,0.000503598,14173,0.00108089,35013,0.000583708,21780
2300,0.00331514,32238,0.00248536,19382,0.00307165,30502,0.000900667,40750,0.00236185,94683,0.00128753,78465,0.00277814,0,0.00485058,0,0.00290192,0,0.000556181,15070,0.00120179,36591,0.000602264,22893
2400,0.0034724,34011,0.00265376,20092,0.00324531,32148,0.000905944,44835,0.00257303,101919,0.00124594,81827,0.0027625,0,0.00301014,0,0.00281947,0,0.000569403,15728,0.00117457,38147,0.000639861,23836
2500,0.00351436,35772,0.00274857,20945,0.00323801,33480,0.000910681,43400,0.00271179,109595,0.00129967,87515,0.00282756,0,0.00306569,0,0.00300907,0,0.000599472,16895,0.00125108,39936,0.000651125,24549
2600,0.00362783,37503,0.00280478,22113,0.00344663,35085,0.000975319,46931,0.00292461,116622,0.00233326,168308,0.00300886,0,0.00321189,0,0.00313449,0,0.000614361,17804,0.00132996,41791,0.000671444,25455
2700,0.00375822,39257,0.00289457,22807,0.00363326,37051,0.00108897,51282,0.00308871,124987,0.00226433,167275,0.00319931,0,0.00332678,0,0.00342611,0,0.000679792,18601,0.00144361,43595,0.000737722,26360
2800,0.0041255,41055,0.00317049,23764,0.00379471,37938,0.00101775,47597,0.00336835,133431,0.00282264,204444,0.00335608,0,0.00333276,0,0.00338492,0,0.000681889,19598,0.00141014,45140,0.000725042,27413
2900,0.00408492,42870,0.00315771,24648,0.00385949,39365,0.00109224,52364,0.00348022,140340,0.00187803,129798,0.00347831,0,0.00349104,0,0.00343882,0,0.000689597,20639,0.0014535,46741,0.000747903,28138
3000,0.00422908,44549,0.00332225,25777,0.00400071,40406,0.00108989,51271,0.00378396,150925,0.00175125,116587,0.00360238,0,0.00366265,0,0.00363808,0,0.000737639,21725,0.00151528,48637,0.000785153,29225
